method,phase,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
enhanced_bounded_residual,decode,all,all,162,0.3356911755102193,0.11814491679134316,0.031189824762414758,0.018638724418320353,0.3648711886005752,0.1824355943002876,0.019265435837794324,0.2758497774339771,0.1130454053754156
enhanced_bounded_residual,decode,all,burstgpt_1,27,0.24248003205096655,0.14134567701188985,0.08897898209000765,0.022515545089642767,0.2558614936265038,0.1279307468132519,0.013643451133729292,0.21778972181080894,0.13633052964597578
enhanced_bounded_residual,decode,all,burstgpt_2,27,0.12077164383689558,0.07324889449517807,0.01535721079619478,0.015072764607571508,0.26910368160330655,0.13455184080165328,0.012509551968694344,0.11056850759057879,0.07106223021960703
enhanced_bounded_residual,decode,all,burstgpt_3,27,0.31414422403792797,0.12597331254454688,0.02957766154799791,0.021488327894033817,0.3211221028873712,0.1605610514436856,0.013496345326033742,0.27686816712718615,0.12159228996167128
enhanced_bounded_residual,decode,all,mooncake_conversation,27,0.3724258288704168,0.13309617501205934,0.022117093431552333,0.022151316266590122,0.5120264575046192,0.2560132287523096,0.027710086911354872,0.28806422535092335,0.12447520426273312
enhanced_bounded_residual,decode,all,mooncake_synthetic,27,0.2438005089707574,0.10206460537378209,0.019536013314331465,0.019635686500099208,0.2673500127141969,0.13367500635709845,0.013177369519782376,0.19975517198420079,0.09744952458319461
enhanced_bounded_residual,decode,all,mooncake_toolagent,27,0.7205248152943518,0.22762566834245437,0.011571987394404402,0.011575400918951163,0.5637633832674533,0.28188169163372667,0.03505581016717131,0.5620528707401645,0.21298343369266398
enhanced_bounded_residual,decode,mb1,all,54,0.06680494812633594,0.06632037754991549,0.031258618021995935,0.018189148491444533,0.08086429536294537,0.040432147681472685,0.0037908015936926904,0.06533839434708474,0.06498174710188216
enhanced_bounded_residual,decode,mb1,burstgpt_1,9,0.08280209175482975,0.10000363117637925,0.08412772103436222,0.02257663476769698,2.873104754330177e-06,1.4365523771650885e-06,7.040456077084873e-07,0.0803373744171384,0.09834160508546823
enhanced_bounded_residual,decode,mb1,burstgpt_2,9,0.03772718503168054,0.04047279555651148,0.01875860456774368,0.018226021050733333,0.009538522877682601,0.0047692614388413004,0.00039783312442159406,0.037327157556544484,0.04002612365811193
enhanced_bounded_residual,decode,mb1,burstgpt_3,9,0.10887634514078995,0.10018601450238905,0.043897501080856244,0.032615388624849063,0.0042303100025075984,0.0021151550012537992,0.00017679528188404715,0.10743050003345117,0.09841576572575099
enhanced_bounded_residual,decode,mb1,mooncake_conversation,9,0.05228605943704828,0.05199486832003967,0.016578184370668714,0.01662294153613617,0.14207133105872158,0.07103566552936079,0.007024140650999314,0.050878134518186936,0.05061980434687577
